AE ID	Eval	Old Pred	New Pred	Confidence	Abs value	Exp typeExp factors
E-GEOD-27092	no	yes	no	-0.021	0.021	transcription profiling by array	VARIATION
E-GEOD-39992	no	yes	no	-0.033	0.033	transcription profiling by array	AGE
E-GEOD-19099	yes	yes	yes	0.043	0.043	transcription profiling by array	None
E-GEOD-12223	no	yes	no	-0.064	0.064	transcription profiling by array	None
E-GEOD-38095	no	yes	no	-0.021	0.021	transcription profiling by array	MATERNAL TREATMENT GROUP | TREATMENT
E-MTAB-3774	no	yes	yes	0.016	0.016	transcription profiling by array	age | genotype
E-GEOD-65772	yes	yes	yes	0.076	0.076	RNA-Seq	age | housing condition | genotype | Sex
E-GEOD-59404	no	yes	no	-0.042	0.042	transcription profiling by array	TIME COLLECTED | TREATMENT
E-GEOD-65031	no	yes	yes	0.002	0.002	RNA-Seq	type of sample | treatment | time
E-GEOD-73717	yes	yes	yes	0.025	0.025	transcription profiling by array	sentrix_position | genotype
E-MTAB-4415	no	yes	yes	0.008	0.008	RNA-Seq	genotype
E-GEOD-73715	yes	yes	yes	0.107	0.107	transcription profiling by array	individual identifier | organism part
E-GEOD-22351	no	yes	yes	0.027	0.027	RNA-Seq	genotype
E-MTAB-3171	no	yes	none	none	none	RNA-Seq	
E-MTAB-3170	yes	yes	yes	0.039	0.039	transcription profiling by array	genotype | phenotype
E-GEOD-52506	no	yes	no	-0.007	0.007	transcription profiling by array	disease state | time
E-GEOD-12077	no	yes	yes	0.022	0.022	transcription profiling by array	None
E-GEOD-12074	no	yes	yes	0.041	0.041	RNA-Seq	None
E-GEOD-43041	no	yes	yes	0.013	0.013	RNA-Seq	CELL-TYPE | GENOTYPE | CHIP ANTIBODY
E-GEOD-40053	no	yes	yes	0.063	0.063	RNA-Seq	LINKER | AGE | BARCODE | VARIATION | ORGANISM | STRAIN OR LINE
E-GEOD-22359	yes	yes	yes	0.052	0.052	transcription profiling by array	STRAIN
E-GEOD-55228	no	yes	yes	0.070	0.070	RNA-Seq	TREATMENT
E-GEOD-71974	no	yes	yes	0.005	0.005	transcription profiling by array	sirna
E-GEOD-78183	no	yes	yes	0.012	0.012	RNA-Seq	strain | mouse id | diet | time
E-GEOD-16942	no	yes	no	-0.011	0.011	transcription profiling by array	FRACTION
E-GEOD-10658	no	yes	yes	0.032	0.032	transcription profiling by array	None
E-GEOD-11661	no	yes	yes	0.023	0.023	transcription profiling by array	None
E-GEOD-70195	no	yes	yes	0.056	0.056	transcription profiling by array	genotype
E-GEOD-11667	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-642	yes	yes	yes	0.034	0.034	transcription profiling by array	Age | DiseaseState | Genotype
E-GEOD-54044	no	yes	yes	0.004	0.004	transcription profiling by array	genotyping
E-GEOD-56966	no	yes	no	-0.020	0.020	RNA-Seq	GENOTYPE
E-GEOD-70198	yes	yes	none	none	none	RNA-Seq	
E-GEOD-8720	no	yes	yes	0.046	0.046	transcription profiling by array	POOLED | GENOTYPE | AGE | # CELLS | REGION | AMPLIFICATION BATCH
E-MTAB-3884	yes	yes	yes	0.040	0.040	RNA-Seq	genotype
E-GEOD-76983	no	yes	no	-0.018	0.018	RNA-Seq	cell subtype
E-GEOD-4222	no	yes	yes	0.048	0.048	transcription profiling by array	Age | OrganismPart | GrowthCondition
E-MTAB-700	yes	yes	yes	0.029	0.029	transcription profiling by array	Genotype
E-GEOD-59081	yes	yes	yes	0.038	0.038	transcription profiling by array	IMMUNOPRECIPITATE | GENOTYPE | CHIP POSITION
E-GEOD-15383	yes	yes	yes	0.046	0.046	transcription profiling by array	None
E-MTAB-2738	no	yes	yes	0.032	0.032	transcription profiling by array	age | genotype
E-GEOD-47049	yes	yes	yes	0.000	0.000	transcription profiling by array	GENOTYPE
E-GEOD-19675	yes	yes	yes	0.014	0.014	transcription profiling by array	AGE | GENOTYPE
E-GEOD-19674	no	yes	none	none	none	transcription profiling by array	
E-GEOD-38009	yes	yes	yes	0.038	0.038	transcription profiling by array	GENOTYPE
E-MEXP-2692	yes	yes	yes	0.019	0.019	transcription profiling by array	GENOTYPE
E-GEOD-79109	no	yes	no	-0.040	0.040	transcription profiling by array	None
E-GEOD-37762	no	yes	no	-0.075	0.075	transcription profiling by array	None
E-GEOD-21255	no	yes	no	-0.031	0.031	transcription profiling by array	GENOTYPE/VARIATION | AGENT
E-GEOD-12387	no	yes	no	-0.011	0.011	transcription profiling by array	None
E-GEOD-55304	no	yes	yes	0.015	0.015	transcription profiling by array	treatment group
E-GEOD-36724	no	yes	no	-0.041	0.041	transcription profiling by array	LIVER HISTOLOGY | GLUCOSE METABOLISM | VARIATION
E-MTAB-3315	no	yes	no	-0.021	0.021	RNA-Seq	infect
E-GEOD-56996	no	yes	no	-0.000	0.000	transcription profiling by array	LINE | EXPRESSION
E-GEOD-53743	no	yes	yes	0.008	0.008	RNA-Seq	replicate | treatment | cell fraction
E-MTAB-2635	yes	yes	yes	0.010	0.010	transcription profiling by array	age | genotype
E-GEOD-29278	yes	yes	yes	0.048	0.048	RNA-Seq	None
E-MEXP-2454	no	yes	none	none	none	transcription profiling by array	
E-GEOD-32881	yes	yes	yes	0.055	0.055	RNA-Seq	GENDER
E-GEOD-1674	no	yes	yes	0.033	0.033	transcription profiling by array	DiseaseState | StrainOrLine | OrganismPart
E-GEOD-74400	yes	yes	yes	0.003	0.003	transcription profiling by array	cell type
E-GEOD-44754	yes	yes	yes	0.050	0.050	transcription profiling by array	STRAIN BACKGROUND
E-GEOD-46701	no	yes	yes	0.009	0.009	transcription profiling by array	GENOTYPE
E-GEOD-70249	no	yes	yes	0.004	0.004	RNA-Seq	None
E-GEOD-48014	no	yes	no	-0.033	0.033	transcription profiling by array	TREATMENT | SEX
E-MEXP-1321	yes	yes	yes	0.034	0.034	transcription profiling by array	genotype
E-GEOD-57716	no	yes	yes	0.005	0.005	transcription profiling by array	None
E-GEOD-16703	no	yes	no	-0.008	0.008	transcription profiling by array	None
E-GEOD-44192	no	yes	no	-0.013	0.013	transcription profiling by array	GENOTYPE
E-GEOD-69941	no	yes	no	-0.019	0.019	transcription profiling by array	maternal treatment group
E-GEOD-60817	yes	yes	yes	0.078	0.078	RNA-Seq	AGE | ORGANISM PART
E-GEOD-41345	no	yes	no	-0.140	0.140	transcription profiling by array	TREATMENT PROTOCOL
E-GEOD-19709	no	yes	none	none	none	transcription profiling by array	
E-GEOD-35836	no	yes	no	-0.027	0.027	transcription profiling by array	None
E-GEOD-50132	no	yes	yes	0.035	0.035	RNA-Seq	SAMPLE TYPE | STRESS
E-GEOD-64868	yes	yes	yes	0.060	0.060	transcription profiling by array	genotype | organism part
E-GEOD-4647	no	yes	none	none	none	transcription profiling by array	
E-GEOD-9130	no	yes	no	-0.011	0.011	transcription profiling by array	None
E-GEOD-9131	yes	yes	no	-0.010	0.010	transcription profiling by array	None
E-GEOD-36819	no	yes	yes	0.001	0.001	transcription profiling by array	None
E-GEOD-53214	no	yes	yes	0.003	0.003	RNA-Seq	CELL TYPE
E-GEOD-48872	no	yes	no	-0.023	0.023	transcription profiling by array	cell type | treatment
E-GEOD-77645	no	yes	yes	0.015	0.015	RNA-Seq	bait | cell type | restriction enzymes | genotype
E-GEOD-45664	no	yes	yes	0.009	0.009	transcription profiling by array	GENOTYPE
E-GEOD-15303	no	yes	yes	0.016	0.016	transcription profiling by array	CELL | GENOTYPE
E-MTAB-3559	yes	yes	yes	0.037	0.037	transcription profiling by array	genotype
E-GEOD-12495	yes	yes	yes	0.020	0.020	transcription profiling by array	None
E-GEOD-62762	yes	yes	yes	0.014	0.014	RNA-Seq	selection marker | age | tissue isolation | organ | treatment
E-MTAB-88	no	yes	none	none	none	transcription profiling by array	
E-GEOD-29314	no	yes	yes	0.010	0.010	transcription profiling by array	STRAIN | GENOTYPE/VARIATION
E-GEOD-29317	no	yes	none	none	none	transcription profiling by array	
E-GEOD-43575	yes	yes	yes	0.060	0.060	RNA-Seq	STRAIN OR LINE | TIME OF DAY | GENOTYPE | ORGANISM PART | OLIGO SET
E-GEOD-29318	no	yes	no	-0.008	0.008	transcription profiling by array	AGE | CELL TYPE | GENOTYPE
E-MTAB-86	yes	yes	yes	0.019	0.019	transcription profiling by array	STRAINORLINE | ORGANISMPART
E-MTAB-80	no	yes	none	none	none	transcription profiling by array	
E-GEOD-1867	yes	yes	yes	0.000	0.000	transcription profiling by array	DevelopmentalStage | CellType | GrowthCondition
E-GEOD-13382	no	yes	no	-0.012	0.012	transcription profiling by array	None
E-GEOD-51241	no	yes	no	-0.016	0.016	transcription profiling by array	DISEASE STATE | CELL TYPE | GENOTYPE
E-GEOD-11287	yes	yes	yes	0.027	0.027	transcription profiling by array	None
E-GEOD-13387	no	yes	no	-0.001	0.001	transcription profiling by array	LINE | DRIVER | REGION
E-GEOD-13386	no	yes	no	-0.028	0.028	transcription profiling by array	DRIVER | LINE | COLLECTION DAY
E-GEOD-13384	no	yes	no	-0.021	0.021	transcription profiling by array	LINE | DRIVER
E-GEOD-40984	no	yes	yes	0.042	0.042	RNA-Seq	PROTOCOL
E-GEOD-70116	yes	yes	yes	0.070	0.070	RNA-Seq	None
E-GEOD-11288	no	yes	no	-0.062	0.062	transcription profiling by array	None
E-GEOD-6291	no	yes	no	-0.003	0.003	transcription profiling by array	None
E-GEOD-40983	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-40982	yes	yes	yes	0.038	0.038	transcription profiling by array	GENOTYPE
E-GEOD-3644	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-2060	no	yes	no	-0.007	0.007	transcription profiling by array	None
E-GEOD-16012	yes	yes	yes	0.030	0.030	transcription profiling by array	GENOTYPE | ORGANISM PART
E-GEOD-51189	no	yes	yes	0.013	0.013	transcription profiling by array	PHENOTYPE
E-GEOD-9004	yes	yes	no	-0.009	0.009	transcription profiling by array	STRAIN OR LINE
E-GEOD-32660	no	yes	yes	0.014	0.014	transcription profiling by array	GENOTYPE/VARIATION
E-GEOD-10525	no	yes	no	-0.015	0.015	transcription profiling by array	None
E-GEOD-61324	yes	yes	yes	0.051	0.051	transcription profiling by array	REGION | GENOTYPE
E-GEOD-8600	no	yes	yes	0.035	0.035	transcription profiling by array	None
E-GEOD-33138	no	yes	yes	0.006	0.006	transcription profiling by array	GENOTYPE
E-GEOD-8357	no	no	no	-0.007	0.007	transcription profiling by array	None
E-GEOD-8356	yes	yes	yes	0.068	0.068	transcription profiling by array	STRAIN
E-GEOD-8355	yes	yes	yes	0.073	0.073	transcription profiling by array	STRAIN
E-GEOD-39191	no	yes	yes	0.022	0.022	transcription profiling by array	CELL TYPE
E-GEOD-33132	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-8358	yes	yes	yes	0.051	0.051	transcription profiling by array	STRAIN | TISSUE
E-GEOD-33884	no	yes	yes	0.063	0.063	transcription profiling by array	ADDITIONAL ID | VARIATION | ARRAY NAME | SEX
E-GEOD-33134	yes	yes	yes	0.052	0.052	transcription profiling by array	AGE | GENOTYPE
E-GEOD-5582	no	yes	yes	0.028	0.028	transcription profiling by array	None
E-GEOD-6904	no	yes	yes	0.008	0.008	transcription profiling by array	None
E-GEOD-46591	yes	yes	yes	0.063	0.063	transcription profiling by array	GENOTYPE
E-GEOD-54349	no	yes	no	-0.023	0.023	transcription profiling by array	MICE GROUP | ORGANISM PART
E-GEOD-6903	no	yes	no	-0.000	0.000	transcription profiling by array	None
E-GEOD-57809	yes	yes	yes	0.032	0.032	RNA-Seq	age
E-GEOD-13033	yes	yes	yes	0.012	0.012	transcription profiling by array	None
E-GEOD-34581	no	yes	yes	0.021	0.021	transcription profiling by array	STRAIN OR LINE | VARIATION | ORGANISM PART | DIET
E-GEOD-47062	yes	yes	yes	0.007	0.007	RNA-Seq	GENOTYPE
E-GEOD-34208	no	yes	yes	0.001	0.001	transcription profiling by array	CELL TYPE | GENOTYPE/VARIATION
E-GEOD-51735	yes	yes	yes	0.038	0.038	RNA-Seq	CELL | GENOTYPE
E-GEOD-51736	no	yes	yes	0.008	0.008	transcription profiling by array	STRAIN OR LINE
E-MTAB-3428	yes	yes	yes	0.047	0.047	RNA-Seq	genotype | time
E-GEOD-74615	no	yes	yes	0.013	0.013	transcription profiling by array	cell population selection | genotype
E-GEOD-17723	yes	yes	yes	0.005	0.005	transcription profiling by array	GENOTYPE
E-GEOD-37908	yes	yes	yes	0.048	0.048	transcription profiling by array	GENOTYPE
E-GEOD-19871	yes	yes	yes	0.064	0.064	transcription profiling by array	TISSUE | MOUSE ID
E-GEOD-44570	no	yes	yes	0.026	0.026	transcription profiling by array	GENOTYPE | ORGANISM PART
E-GEOD-6581	no	yes	no	-0.015	0.015	transcription profiling by array	None
E-GEOD-35723	no	yes	no	-0.019	0.019	transcription profiling by array	GENOTYPE
E-GEOD-57656	no	yes	no	-0.000	0.000	transcription profiling by array	medium
E-GEOD-71628	no	yes	yes	0.005	0.005	transcription profiling by array	phenotype | time
E-GEOD-46443	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-5129	no	yes	none	none	none	transcription profiling by array	
E-GEOD-33663	no	yes	yes	0.017	0.017	transcription profiling by array	ENVIRONMENTAL CONDITION | LOCATION
E-GEOD-33627	no	yes	none	none	none	transcription profiling by array	
E-GEOD-16691	no	yes	yes	0.039	0.039	transcription profiling by array	None
E-GEOD-61216	no	no	yes	0.080	0.080	RNA-Seq	GENOTYPE
E-GEOD-73861	no	yes	no	-0.009	0.009	RNA-Seq	genotype
E-MEXP-2189	no	yes	none	none	none	transcription profiling by array	
E-GEOD-5055	yes	yes	yes	0.065	0.065	transcription profiling by array	None
E-GEOD-45931	no	yes	yes	0.043	0.043	transcription profiling by array	None
E-GEOD-15894	no	yes	none	none	none	transcription profiling by array	
E-GEOD-46626	no	yes	yes	0.011	0.011	transcription profiling by array	AGE | SEX | TIME | DISEASE STATE FINAL PATHOLOGY
E-MTAB-4086	no	yes	yes	0.023	0.023	RNA-Seq	phenotype
E-MTAB-543	no	yes	no	-0.020	0.020	transcription profiling by array	STRAINORLINE
E-GEOD-66931	yes	yes	yes	0.037	0.037	RNA-Seq	genotype
E-GEOD-34051	yes	yes	yes	0.062	0.062	transcription profiling by array	GENOTYPE/VARIATION
E-GEOD-8516	no	no	none	none	none	transcription profiling by array	
E-GEOD-15943	no	yes	no	-0.014	0.014	transcription profiling by array	GENOTYPE | PHENOTYPE
E-GEOD-61708	no	yes	no	-0.053	0.053	transcription profiling by array	treatment
E-GEOD-1392	no	yes	none	none	none	transcription profiling by array	
E-GEOD-42580	no	no	no	-0.047	0.047	transcription profiling by array	CULTURE CONDITIONS | CELL TYPE | VARIATION
E-GEOD-61038	no	yes	no	-0.029	0.029	transcription profiling by array	treated with | Sex
E-GEOD-35293	no	yes	yes	0.084	0.084	transcription profiling by array	VARIATION
E-GEOD-33922	yes	yes	yes	0.043	0.043	RNA-Seq	None
E-GEOD-35297	yes	yes	yes	0.025	0.025	transcription profiling by array	GENOTYPE/VARIATION
E-GEOD-57241	no	yes	none	none	none	RNA-Seq	
E-GEOD-43197	no	yes	no	-0.002	0.002	transcription profiling by array	growth condition | cell line | time
E-GEOD-43194	yes	yes	none	none	none	RNA-Seq	
E-GEOD-31993	yes	yes	yes	0.041	0.041	transcription profiling by array	TISSUE | GENOTYPE | SEX
E-GEOD-75907	yes	yes	yes	0.084	0.084	RNA-Seq	age | mouse line | genotype | organism part | sex
E-GEOD-9562	no	yes	no	-0.013	0.013	transcription profiling by array	None
E-GEOD-4612	yes	yes	yes	0.070	0.070	transcription profiling by array	Age | Genotype
E-GEOD-83992	yes	yes	yes	0.245	0.245	RNA-Seq	age | organism
E-GEOD-52192	no	no	no	-0.017	0.017	transcription profiling by array	AGE
E-GEOD-52195	yes	yes	yes	0.031	0.031	transcription profiling by array	GENOTYPE
E-GEOD-37831	no	yes	no	-0.027	0.027	transcription profiling by array	TREATMENT GROUP | STRAIN OR LINE | SEX
E-GEOD-52196	yes	yes	yes	0.022	0.022	transcription profiling by array	GENOTYPE
E-GEOD-8191	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-43356	no	yes	no	-0.004	0.004	transcription profiling by array	VARIATION
E-GEOD-43351	no	yes	yes	0.039	0.039	RNA-Seq	GENOTYPE
E-GEOD-44406	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-44402	no	yes	yes	0.028	0.028	RNA-Seq	TREATED WITH
E-GEOD-67683	yes	yes	yes	0.080	0.080	RNA-Seq	None
E-MTAB-5000	yes	yes	yes	0.015	0.015	transcription profiling by array	genotype
E-GEOD-36407	no	yes	yes	0.009	0.009	transcription profiling by array	DISEASE STATE | TIME
E-GEOD-49448	no	yes	yes	0.004	0.004	transcription profiling by array	cell type
E-GEOD-8771	no	yes	no	-0.008	0.008	transcription profiling by array	None
E-GEOD-36408	yes	yes	yes	0.042	0.042	transcription profiling by array	SECTION TYPE | MOUSE ID
E-GEOD-31752	yes	yes	no	-0.012	0.012	transcription profiling by array	GENOTYPE
E-GEOD-49444	yes	yes	yes	0.032	0.032	transcription profiling by array	STRAIN | CELL TYPE
E-GEOD-49115	yes	yes	yes	0.045	0.045	transcription profiling by array	AGE | STRAIN OR LINE
E-GEOD-40610	yes	yes	yes	0.046	0.046	transcription profiling by array	AGE | GENOTYPE
E-GEOD-8683	no	yes	no	-0.016	0.016	transcription profiling by array	None
E-GEOD-10392	no	yes	no	-0.026	0.026	transcription profiling by array	None
E-GEOD-56458	no	yes	yes	0.031	0.031	transcription profiling by array	STRAIN | GENOTYPE
E-GEOD-60325	yes	yes	yes	0.013	0.013	transcription profiling by array	GENOTYPE
E-GEOD-11867	yes	yes	yes	0.061	0.061	transcription profiling by array	AGE
E-GEOD-69903	no	yes	no	-0.002	0.002	transcription profiling by array	genotype | palpable tumor | tumor type | strain | early classification | age weeks
E-GEOD-35470	yes	yes	yes	0.023	0.023	transcription profiling by array	GENOTYPE/VARIATION
E-GEOD-11862	no	yes	yes	0.017	0.017	transcription profiling by array	None
E-GEOD-31199	yes	yes	yes	0.021	0.021	transcription profiling by array	BRAIN REGION | GENOTYPE/VARIATION
E-GEOD-5901	no	yes	none	none	none	transcription profiling by array	
E-GEOD-57108	yes	yes	yes	0.005	0.005	transcription profiling by array	age | genotype
E-GEOD-56452	yes	yes	no	-0.020	0.020	transcription profiling by array	AGE | GENOTYPE
E-MEXP-2201	yes	yes	yes	0.026	0.026	transcription profiling by array	GENOTYPE | ORGANISM_PART
E-GEOD-46136	yes	yes	yes	0.073	0.073	transcription profiling by array	GENOTYPE BRDT | REPLICATE | CELL TYPE
E-GEOD-85415	yes	yes	yes	0.029	0.029	transcription profiling by array	sex
E-GEOD-13626	no	yes	no	-0.003	0.003	transcription profiling by array	None
E-GEOD-60450	no	yes	none	none	none	RNA-Seq	
E-GEOD-50600	no	yes	yes	0.031	0.031	transcription profiling by array	PREGNANCY
E-GEOD-12712	yes	yes	yes	0.074	0.074	transcription profiling by array	None
E-GEOD-48861	no	yes	no	-0.006	0.006	RNA-Seq	DONOR BMI
E-GEOD-68150	no	yes	yes	0.026	0.026	RNA-Seq	None
E-GEOD-28201	no	yes	none	none	none	transcription profiling by array	
E-GEOD-38025	yes	yes	yes	0.107	0.107	transcription profiling by array	AGE
E-GEOD-14561	no	yes	no	-0.027	0.027	transcription profiling by array	None
E-GEOD-39171	no	yes	no	-0.020	0.020	transcription profiling by array	PC1 EXPRESSION LEVEL
E-GEOD-49592	no	yes	yes	0.024	0.024	RNA-Seq	STRAIN | AGE | ORGANISM | ORGANISM PART
E-GEOD-24573	no	no	none	none	none	transcription profiling by array	
E-MEXP-3598	no	yes	yes	0.021	0.021	transcription profiling by array	STRAIN_OR_LINE
E-GEOD-24576	no	yes	yes	0.059	0.059	transcription profiling by array	SAMPLE TYPE | MOUSE
E-GEOD-4508	no	yes	yes	0.028	0.028	transcription profiling by array	None
E-GEOD-52514	yes	yes	yes	0.042	0.042	RNA-Seq	GENOTYPE
E-GEOD-4050	no	yes	no	-0.027	0.027	transcription profiling by array	None
E-GEOD-4052	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-4053	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-23525	yes	yes	yes	0.034	0.034	RNA-Seq	ANTIBODY VENDOR | AGE | CHIP-ANTIBODY
E-MTAB-5677	no	yes	no	-0.012	0.012	Not Resolved	phenotype | organism part | cell type
E-GEOD-24972	no	yes	yes	0.015	0.015	transcription profiling by array	CELLS | GENETIC BACKGROUND | GENOTYPE
E-GEOD-13044	no	yes	no	-0.008	0.008	transcription profiling by array	None
E-GEOD-24971	no	yes	no	-0.043	0.043	transcription profiling by array	TISSUE | TIME POINT
E-GEOD-48885	no	yes	none	none	none	transcription profiling by array	
E-MTAB-5645	no	yes	no	-0.023	0.023	RNA-Seq	age | diet
E-GEOD-58103	no	yes	no	-0.023	0.023	transcription profiling by array	EXPOSED TO | GENOTYPE
E-GEOD-24209	no	yes	no	-0.011	0.011	transcription profiling by array	STRAIN | SURGERY | TISSUE | GENOTYPE
E-GEOD-48543	no	yes	yes	0.009	0.009	transcription profiling by array	GENOTYPE
E-MTAB-2292	no	yes	yes	0.015	0.015	RNA-Seq	replicate
E-GEOD-31372	no	yes	yes	0.059	0.059	transcription profiling by array	AGE | GENETIC BACKGROUND
E-GEOD-38741	no	yes	yes	0.025	0.025	RNA-Seq	CELL | GENOTYPE | STRAIN OR LINE
E-GEOD-60149	no	yes	no	-0.023	0.023	transcription profiling by array	GENOTYPE
E-GEOD-31371	no	yes	yes	0.007	0.007	transcription profiling by array	AGE | GENOTYPE/VARIATION
E-GEOD-68688	no	yes	yes	0.012	0.012	transcription profiling by array	liver
E-GEOD-45026	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-58724	no	yes	no	-0.023	0.023	RNA-Seq	genotype | cell population | treated with
E-GEOD-58727	yes	yes	yes	0.049	0.049	transcription profiling by array	GENOTYPE
E-GEOD-7958	yes	yes	no	-0.138	0.138	transcription profiling by array	None
E-GEOD-27954	no	yes	none	none	none	transcription profiling by array	
E-GEOD-72128	yes	yes	yes	0.025	0.025	transcription profiling by array	tissue type
E-GEOD-54943	no	yes	yes	0.007	0.007	transcription profiling by array	TREATMENT
E-GEOD-66243	no	yes	no	-0.005	0.005	RNA-Seq	time
E-GEOD-42350	no	yes	no	-0.003	0.003	RNA-Seq	GENOTYPE
E-MEXP-117	no	yes	no	-0.012	0.012	transcription profiling by array	Recovery time | UV-C dose (joules) | Photoreactivation
E-GEOD-12802	no	yes	no	-0.008	0.008	transcription profiling by array	None
E-GEOD-28516	no	yes	none	none	none	transcription profiling by array	
E-MEXP-114	yes	yes	yes	0.040	0.040	transcription profiling by array	species | organism part | sex
E-GEOD-76097	no	yes	no	-0.024	0.024	RNA-Seq	rna sample type | genotype | condition
E-GEOD-52006	yes	yes	yes	0.101	0.101	RNA-Seq	AGE | GENOTYPE
E-GEOD-11679	no	yes	no	-0.023	0.023	transcription profiling by array	None
E-MTAB-1036	yes	yes	yes	0.010	0.010	transcription profiling by array	Genotype
E-GEOD-75858	no	yes	yes	0.004	0.004	RNA-Seq	Sex
E-GEOD-31265	no	yes	no	-0.017	0.017	transcription profiling by array	DISEASE STATE
E-GEOD-24376	no	yes	none	none	none	transcription profiling by array	
E-GEOD-7774	yes	yes	yes	0.086	0.086	transcription profiling by array	None
E-GEOD-7775	yes	yes	yes	0.047	0.047	transcription profiling by array	None
E-GEOD-7776	yes	yes	yes	0.032	0.032	transcription profiling by array	None
E-GEOD-7770	no	no	no	-0.008	0.008	transcription profiling by array	None
E-GEOD-48083	no	yes	yes	0.032	0.032	RNA-Seq	treatment
E-GEOD-28737	no	yes	no	-0.009	0.009	transcription profiling by array	GENOTYPE
E-MEXP-840	yes	yes	yes	0.061	0.061	transcription profiling by array	genotype
E-GEOD-68202	no	yes	yes	0.004	0.004	transcription profiling by array	genotype
E-GEOD-58827	yes	yes	yes	0.061	0.061	RNA-Seq	age
E-GEOD-19624	no	yes	yes	0.038	0.038	transcription profiling by array	GENDER | AGE | GENOME/VARIATION
E-MTAB-5791	no	yes	none	none	none	transcription profiling by array	
E-GEOD-30966	yes	yes	yes	0.031	0.031	transcription profiling by array	GENOTYPE
E-GEOD-11448	yes	yes	yes	0.041	0.041	transcription profiling by array	GENOTYPE | STAGE
E-GEOD-11449	no	yes	no	-0.040	0.040	transcription profiling by array	None
E-GEOD-81082	yes	yes	yes	0.075	0.075	RNA-Seq	genotype
E-GEOD-11910	no	yes	no	-0.016	0.016	transcription profiling by array	None
E-GEOD-11443	yes	yes	no	-0.010	0.010	transcription profiling by array	None
E-GEOD-66862	no	yes	no	-0.022	0.022	transcription profiling by array	genotype
E-MEXP-224	no	yes	no	-0.020	0.020	transcription profiling by array	cell_type | organism_part
E-GEOD-31570	yes	yes	yes	0.038	0.038	transcription profiling by array	CELL TYPE | CHIP ANTIBODY
E-GEOD-66791	yes	yes	no	-0.005	0.005	transcription profiling by array	genotype
E-GEOD-42621	no	yes	no	-0.012	0.012	transcription profiling by array	STRAIN OR LINE | ORGANISM PART | TREATMENT
E-GEOD-23598	no	yes	no	-0.035	0.035	transcription profiling by array	GENOTYPE
E-GEOD-40470	no	yes	yes	0.010	0.010	transcription profiling by array	GENOTYPE
E-GEOD-2736	no	yes	yes	0.038	0.038	transcription profiling by array	None
E-GEOD-14391	no	yes	no	-0.047	0.047	transcription profiling by array	None
E-GEOD-73238	no	yes	yes	0.003	0.003	RNA-Seq	genotype
E-GEOD-14392	yes	yes	yes	0.044	0.044	transcription profiling by array	GENDER | AGE | TISSUE
E-GEOD-14395	yes	yes	no	-0.004	0.004	transcription profiling by array	None
E-GEOD-45118	yes	yes	yes	0.047	0.047	RNA-Seq	genotype
E-GEOD-49171	no	yes	yes	0.021	0.021	transcription profiling by array	DONOR CELL | ORGANISM PART | SEX
E-GEOD-58822	no	yes	yes	0.013	0.013	transcription profiling by array	STRAIN | AGE | ORGANISM PART
E-GEOD-24190	no	yes	yes	0.031	0.031	transcription profiling by array	GENOTYPE/VARIATION
E-GEOD-78901	no	yes	no	-0.001	0.001	transcription profiling by array	age | tissue/cell type | genotype
E-GEOD-38693	no	yes	yes	0.016	0.016	transcription profiling by array	GENOTYPE | TREATMENT
E-GEOD-55485	no	yes	no	-0.041	0.041	transcription profiling by array	strain | treatment
E-GEOD-11497	no	yes	no	-0.026	0.026	transcription profiling by array	None
E-GEOD-7399	no	yes	yes	0.056	0.056	transcription profiling by array	None
E-MEXP-1131	yes	yes	yes	0.021	0.021	transcription profiling by array	genotype | organism part
E-GEOD-51389	no	yes	no	-0.017	0.017	transcription profiling by array	type of yfp
E-MEXP-1135	no	yes	no	-0.033	0.033	transcription profiling by array	infect | disease | time
E-GEOD-52424	yes	yes	yes	0.030	0.030	transcription profiling by array	GENOTYPE
E-GEOD-18393	yes	yes	yes	0.027	0.027	transcription profiling by array	GENOTYPE/VARIATION
E-MTAB-6069	yes	yes	yes	0.062	0.062	transcription profiling by array	genotype
E-GEOD-54126	no	no	none	none	none	transcription profiling by array	
E-GEOD-55248	no	yes	none	none	none	transcription profiling by array	
E-GEOD-29647	yes	yes	yes	0.017	0.017	transcription profiling by array	AGE | GENOTYPE/VARIATION
E-GEOD-40280	no	yes	no	-0.019	0.019	transcription profiling by array	VARIATION
E-GEOD-11777	no	yes	yes	0.038	0.038	transcription profiling by array	None
E-GEOD-29643	yes	yes	yes	0.044	0.044	transcription profiling by array	GENOTYPE
E-GEOD-27402	no	yes	no	-0.022	0.022	transcription profiling by array	GENOTYPE
E-GEOD-16110	no	yes	no	-0.017	0.017	transcription profiling by array	None
E-MTAB-395	no	yes	no	-0.025	0.025	transcription profiling by array	strain
E-GEOD-40260	no	yes	none	none	none	transcription profiling by array	
